"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"CG-47 AEGIS",866,,,,,,,,,,,,,,,,,,,-252.06,,,,,
"CGN-38",14,,,,,,,,,,,,210720,465739.0625,,82719,,,,,,,,,
"CGS",1816,,,,,,,,,,,,,-4121,0,,,-14600,-454071.7901,-11011.95,-4480.76,-449628.9851,,,
"CH-46 SEA KNIGHT",98,,,,,,,,,,-10000,-26246.9297,,,,,,,,,,,,,
"CH-47 CHINOOK",99,3352840,5050038,5468486,,,,,,,,-142712.2188,,,,,,,,,,0,,,
"CH-47D",15,,,,,,,,,,10218910.9688,43424717.179,43813051.4495,59014111.2615,14281314.4234,3399256.32,-129307.0697,-261764.7715,-3118769.6043,-206366.6007,-21364686.0853,-953511.2609,-7829.8901,34354154.418,12970646.0196
"CH-47F",683,,,,,35794,,,,,6415313.6914,-1344179.6641,1417343.6502,825179.2734,-25997.52,9245252.49,10998905.945,11846145.4599,38879824.7822,92687976.9624,3644591.3105,-316370.4222,-287203.539,930472.8154,-439823.5938
"CH-47F BLOCK II",2198,,,,,,,,,,,,,,,,,,,1093080,91037877.7778,86114618.7043,36416979.6093,2758646.2586,6683529.0313
"CH-53 SEA STALLION",760,12878088,17980481,17546043,175031,,,,,,-45319.8,-389035.3223,,,,,,,,,,,,,
"CHCS II",1958,,,,,,,,,,,,-53793.1211,-29980.4199,,-15412.83,,0,,,0,,,0,
"CHEM DEMIL-ACWA",654,,,,,,,,,,,,,,,,,,,30789.4805,,,,,
"CHEM DEMIL-CMA",690,,,,,,,,,,,-24500.3203,,,,,,-31096.9102,,,,,,,
"CHEYENNE",17,,,,,,,,,,,,,3187182,-723831.45,,,,,,,,,,
