"principalnaicscode","principalnaicscodeText","principalNAICS2DigitCode","principalNAICS3DigitCode","principalNAICS4DigitCode","NAICS_shorthand","NAICS_unabbreviated","CriticalTech","FPDS_AnyTag","DeepTech","HighTech","Biotechnology","Quantum","FutureG","AdvMaterials","TrustedAI","SysOfSys","Microelectronics","Space","Renewable","Computing","HMI","DirectedEnergy","Hypersonics","SensorCyber","ComponentTech","ExIm_AnyTag","IsFormerCFIUScriticalTech","HighTechBLS"
33122,"Rolling and Drawing of Purchased Steel","31-33","331","3312","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33131,"Alumina and Aluminum Production and Processing","31-33","331","3313","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33141,"Nonferrous Metal (except Aluminum) Smelting and Refining","31-33","331","3314","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33142,"Copper Rolling, Drawing, Extruding, and Alloying","31-33","331","3314","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying","31-33","331","3314","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33151,"Ferrous Metal Foundries","31-33","331","3315","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33152,"Nonferrous Metal Foundries","31-33","331","3315","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33211,"Forging and Stamping","31-33","332","3321","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33221,"Cutlery and Handtool Manufacturing","31-33","332","3322","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33231,"Plate Work and Fabricated Structural Product Manufacturing","31-33","332","3323","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33232,"Ornamental and Architectural Metal Products Manufacturing","31-33","332","3323","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33241,"Power Boiler and Heat Exchanger Manufacturing","31-33","332","3324","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33242,"Metal Tank (Heavy Gauge) Manufacturing","31-33","332","3324","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing","31-33","332","3324","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33251,"Hardware Manufacturing","31-33","332","3325","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33261,"Spring and Wire Product Manufacturing","31-33","332","3326","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33271,"Machine Shops","31-33","332","3327","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33272,"Turned Product and Screw, Nut, and Bolt Manufacturing","31-33","332","3327","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33281,"Coating, Engraving, Heat Treating, and Allied Activities","31-33","332","3328","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33291,"Metal Valve Manufacturing","31-33","332","3329","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33299,"All Other Fabricated Metal Product Manufacturing","31-33","332","3329","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33311,"Agricultural Implement Manufacturing","31-33","333","3331","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33312,"Construction Machinery Manufacturing","31-33","333","3331","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33313,"Mining and Oil and Gas Field Machinery Manufacturing","31-33","333","3331","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33324,"Industrial Machinery Manufacturing","31-33","333","3332","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
33331,"Commercial and Service Industry Machinery Manufacturing","31-33","333","3333","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","31-33","333","3334","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33351,"Metalworking Machinery Manufacturing","31-33","333","3335","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing","31-33","333","3336","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
33391,"Pump and Compressor Manufacturing","31-33","333","3339","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
33392,"Material Handling Equipment Manufacturing","31-33","333","3339","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
33399,"All Other General Purpose Machinery Manufacturing","31-33","333","3339","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
33411,"Computer and Peripheral Equipment Manufacturing","31-33","334","3341","NULL","NULL","Computing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33421,"Telephone Apparatus Manufacturing","31-33","334","3342","NULL","NULL","Modern Telecom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33422,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","31-33","334","3342","NULL","NULL","Modern Telecom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33429,"Other Communications Equipment Manufacturing","31-33","334","3342","NULL","NULL","Modern Telecom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33431,"Audio and Video Equipment Manufacturing","31-33","334","3343","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
33441,"Semiconductor and Other Electronic Component Manufacturing","31-33","334","3344","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","31-33","334","3345","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33461,"Manufacturing and Reproducing Magnetic and Optical Media","31-33","334","3346","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
33511,"Electric Lamp Bulb and Part Manufacturing","31-33","335","3351","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33512,"Lighting Fixture Manufacturing","31-33","335","3351","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33521,"Small Electrical Appliance Manufacturing","31-33","335","3352","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33522,"Major Appliance Manufacturing","31-33","335","3352","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33531,"Electrical Equipment Manufacturing","31-33","335","3353","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
33591,"Battery Manufacturing","31-33","335","3359","NULL","NULL","Renewables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33592,"Communication and Energy Wire and Cable Manufacturing","31-33","335","3359","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33593,"Wiring Device Manufacturing","31-33","335","3359","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33599,"All Other Electrical Equipment and Component Manufacturing","31-33","335","3359","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33611,"Automobile and Light Duty Motor Vehicle Manufacturing","31-33","336","3361","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33612,"Heavy Duty Truck Manufacturing","31-33","336","3361","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33621,"Motor Vehicle Body and Trailer Manufacturing","31-33","336","3362","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33631,"Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33632,"Motor Vehicle Electrical and Electronic Equipment Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33633,"Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33634,"Motor Vehicle Brake System Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33635,"Motor Vehicle Transmission and Power Train Parts Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33636,"Motor Vehicle Seating and Interior Trim Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33637,"Motor Vehicle Metal Stamping","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33639,"Other Motor Vehicle Parts Manufacturing","31-33","336","3363","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33641,"Aerospace Product and Parts Manufacturing","31-33","336","3364","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
33651,"Railroad Rolling Stock Manufacturing","31-33","336","3365","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33661,"Ship and Boat Building","31-33","336","3366","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33699,"Other Transportation Equipment Manufacturing","31-33","336","3369","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
33711,"Wood Kitchen Cabinet and Countertop Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33712,"Household and Institutional Furniture Manufacturing","31-33","337","3371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33721,"Office Furniture (including Fixtures) Manufacturing","31-33","337","3372","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33791,"Mattress Manufacturing","31-33","337","3379","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33792,"Blind and Shade Manufacturing","31-33","337","3379","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33911,"Medical Equipment and Supplies Manufacturing","31-33","339","3391","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33991,"Jewelry and Silverware Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33992,"Sporting and Athletic Goods Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33993,"Doll, Toy, and Game Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33994,"Office Supplies (except Paper) Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33995,"Sign Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
33999,"All Other Miscellaneous Manufacturing","31-33","339","3399","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42131,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers","42","421","4213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42139,"Other Construction Material Wholesalers","42","421","4213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42143,"Computer and Computer Peripheral Equipment and Software Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42149,"Other Professional Equipment and Supplies Wholesalers","42","421","4214","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42151,"Metal Service Centers and Offices","42","421","4215","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42161,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers","42","421","4216","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42162,"Electrical Appliance, Television, and Radio Set Wholesalers","42","421","4216","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42169,"Other Electronic Parts and Equipment Wholesalers","42","421","4216","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42183,"Industrial Machinery and Equipment Wholesalers","42","421","4218","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42191,"Sporting and Recreational Goods and Supplies Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42193,"Recyclable Material Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42199,"Other Miscellaneous Durable Goods Wholesalers","42","421","4219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42252,"Livestock Wholesalers","42","422","4225","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42269,"Other Chemical and Allied Products Wholesalers","42","422","4226","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42272,"Petroleum and Petroleum Products Wholesalers (Except Bulk Stations and Terminals)","42","422","4227","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42292,"Book, Periodical, and Newspaper Wholesalers","42","422","4229","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42311,"Automobile and Other Motor Vehicle Merchant Wholesalers","42","423","4231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42312,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","42","423","4231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42313,"Tire and Tube Merchant Wholesalers","42","423","4231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42314,"Motor Vehicle Parts (Used) Merchant Wholesalers","42","423","4231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42321,"Furniture Merchant Wholesalers","42","423","4232","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42322,"Home Furnishing Merchant Wholesalers","42","423","4232","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","42","423","4233","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42332,"Brick, Stone, and Related Construction Material Merchant Wholesalers","42","423","4233","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers","42","423","4233","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42339,"Other Construction Material Merchant Wholesalers","42","423","4233","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42341,"Photographic Equipment and Supplies Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42342,"Office Equipment Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42343,"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42344,"Other Commercial Equipment Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42346,"Ophthalmic Goods Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42349,"Other Professional Equipment and Supplies Merchant Wholesalers","42","423","4234","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
42351,"Metal Service Centers and Other Metal Merchant Wholesalers","42","423","4235","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42352,"Coal and Other Mineral and Ore Merchant Wholesalers","42","423","4235","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","42","423","4236","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42362,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","42","423","4236","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42369,"Other Electronic Parts and Equipment Merchant Wholesalers","42","423","4236","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42371,"Hardware Merchant Wholesalers","42","423","4237","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42372,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","42","423","4237","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
42373,"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers","42","423","4237","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
