,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,335210,Small Electrical Appliance Manufacturing,NA," 13,617,843 ",2012,2016,,212,212112,Bituminous Coal Underground Mining,212112,Bituminous Coal Underground Mining,,,,,421520,Coal and Other Mineral and Ore Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,115,115310,Support Activities for Forestry,115310,Support Activities for Forestry,,,,,212,212113,Anthracite Mining,212113,Anthracite Mining,
,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,NA," 310,994,915 ",2012,2016,,212,212113,Anthracite Mining,212113,Anthracite Mining,,,,,421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Merchant Wholesalers,,,,211,211111,Crude Petroleum and Natural Gas Extraction,211111,Crude Petroleum and Natural Gas Extraction,,,,,212,212210,Iron Ore Mining,212210,Iron Ore Mining,
,339910,Jewelry and Silverware Manufacturing ,NA," 17,178,310 ",2012,2016,,212,212210,Iron Ore Mining,212210,Iron Ore Mining,,,,,421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,211,211112,Natural Gas Liquid Extraction,211112,Natural Gas Liquid Extraction,,,,,212,212221,Gold Ore Mining,212221,Gold Ore Mining,
,339930,"Doll, Toy, and Game Manufacturing",NA," 5,654,863 ",2012,2016,,212,212221,Gold Ore Mining,212221,Gold Ore Mining,,,,,421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212111,Bituminous Coal and Lignite Surface Mining,212111,Bituminous Coal and Lignite Surface Mining,,,,,212,212222,Silver Ore Mining,212222,Silver Ore Mining,
,339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,NA," 52,032,797 ",2012,2016,,212,212222,Silver Ore Mining,212222,Silver Ore Mining,,,,,421620,"Electrical Appliance, Television, and Radio Set Wholesalers",423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",Merchant Wholesalers,,,,212,212112,Bituminous Coal Underground Mining,212112,Bituminous Coal Underground Mining,,,,,212,212231,Lead Ore and Zinc Ore Mining,212231,Lead Ore and Zinc Ore Mining,
,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",NA,7765292.644,2012,2016,,212,212231,Lead Ore and Zinc Ore Mining,212231,Lead Ore and Zinc Ore Mining,,,,,421620,"Electrical Appliance, Television, and Radio Set Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212113,Anthracite Mining,212113,Anthracite Mining,,,,,212,212234,Copper Ore and Nickel Ore Mining,212234,Copper Ore and Nickel Ore Mining,
,454310,FUEL DEALERS ,NA,129196955.5,2012,2016,,212,212234,Copper Ore and Nickel Ore Mining,212234,Copper Ore and Nickel Ore Mining,,,,,421620,"Electrical Appliance, Television, and Radio Set Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212210,Iron Ore Mining,212210,Iron Ore Mining,,,,,212,212291,Uranium-Radium-Vanadium Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,
,541120,OFFICES OF NOTARIES,NA,291824.07,2009,2016,,212,212291,Uranium-Radium-Vanadium Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,,,,,421690,Other Electronic Parts and Equipment Wholesalers,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Merchant Wholesalers,,,,212,212221,Gold Ore Mining,212221,Gold Ore Mining,,,,,212,212299,All Other Metal Ore Mining,212299,All Other Metal Ore Mining,
,,,,,,,,212,212299,All Other Metal Ore Mining,212299,All Other Metal Ore Mining,,,,,421690,Other Electronic Parts and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212222,Silver Ore Mining,212222,Silver Ore Mining,,,,,212,212311,Dimension Stone Mining and Quarrying,212311,Dimension Stone Mining and Quarrying,
,,,,,,,,212,212311,Dimension Stone Mining and Quarrying,212311,Dimension Stone Mining and Quarrying,,,,,421690,Other Electronic Parts and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212231,Lead Ore and Zinc Ore Mining,212231,Lead Ore and Zinc Ore Mining,,,,,212,212312,Crushed and Broken Limestone Mining and Quarrying,212312,Crushed and Broken Limestone Mining and Quarrying,
,,,,,,,,212,212312,Crushed and Broken Limestone Mining and Quarrying,212312,Crushed and Broken Limestone Mining and Quarrying,,,,,421710,Hardware Wholesalers,423710,Hardware Merchant Wholesalers,Merchant Wholesalers,,,,212,212234,Copper Ore and Nickel Ore Mining,212234,Copper Ore and Nickel Ore Mining,,,,,212,212313,Crushed and Broken Granite Mining and Quarrying,212313,Crushed and Broken Granite Mining and Quarrying,
,,,,,,,,212,212313,Crushed and Broken Granite Mining and Quarrying,212313,Crushed and Broken Granite Mining and Quarrying,,,,,421710,Hardware Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212291,Uranium-Radium-Vanadium Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining,,,,,212,212319,Other Crushed and Broken Stone Mining and Quarrying,212319,Other Crushed and Broken Stone Mining and Quarrying,
,,,,,,,,212,212319,Other Crushed and Broken Stone Mining and Quarrying,212319,Other Crushed and Broken Stone Mining and Quarrying,,,,,421710,Hardware Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212299,All Other Metal Ore Mining,212299,All Other Metal Ore Mining,,,,,212,212321,Construction Sand and Gravel Mining,212321,Construction Sand and Gravel Mining,
,,,,,,,,212,212321,Construction Sand and Gravel Mining,212321,Construction Sand and Gravel Mining,,,,,421720,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,Merchant Wholesalers,,,,212,212311,Dimension Stone Mining and Quarrying,212311,Dimension Stone Mining and Quarrying,,,,,212,212322,Industrial Sand Mining,212322,Industrial Sand Mining,
,,,,,,,,212,212322,Industrial Sand Mining,212322,Industrial Sand Mining,,,,,421720,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212312,Crushed and Broken Limestone Mining and Quarrying,212312,Crushed and Broken Limestone Mining and Quarrying,,,,,212,212324,Kaolin and Ball Clay Mining,212324,Kaolin and Ball Clay Mining,
,,,,,,,,212,212324,Kaolin and Ball Clay Mining,212324,Kaolin and Ball Clay Mining,,,,,421720,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212313,Crushed and Broken Granite Mining and Quarrying,212313,Crushed and Broken Granite Mining and Quarrying,,,,,212,212325,Clay and Ceramic and Refractory Minerals Mining,212325,Clay and Ceramic and Refractory Minerals Mining,
,,,,,,,,212,212325,Clay and Ceramic and Refractory Minerals Mining,212325,Clay and Ceramic and Refractory Minerals Mining,,,,,421730,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers,,,,212,212319,Other Crushed and Broken Stone Mining and Quarrying,212319,Other Crushed and Broken Stone Mining and Quarrying,,,,,212,212391,"Potash, Soda, and Borate Mineral Mining",212391,"Potash, Soda, and Borate Mineral Mining",
,,,,,,,,212,212391,"Potash, Soda, and Borate Mineral Mining",212391,"Potash, Soda, and Borate Mineral Mining",,,,,421730,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212321,Construction Sand and Gravel Mining,212321,Construction Sand and Gravel Mining,,,,,212,212392,Phosphate Rock Mining,212392,Phosphate Rock Mining,
,,,,,,,,212,212392,Phosphate Rock Mining,212392,Phosphate Rock Mining,,,,,421730,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212322,Industrial Sand Mining,212322,Industrial Sand Mining,,,,,212,212393,Other Chemical and Fertilizer Mineral Mining,212393,Other Chemical and Fertilizer Mineral Mining,
,,,,,,,,212,212393,Other Chemical and Fertilizer Mineral Mining,212393,Other Chemical and Fertilizer Mineral Mining,,,,,421740,Refrigeration Equipment and Supplies Wholesalers,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers,,,,212,212324,Kaolin and Ball Clay Mining,212324,Kaolin and Ball Clay Mining,,,,,212,212399,All Other Nonmetallic Mineral Mining,212399,All Other Nonmetallic Mineral Mining,
,,,,,,,,212,212399,All Other Nonmetallic Mineral Mining,212399,All Other Nonmetallic Mineral Mining,,,,,421740,Refrigeration Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212325,Clay and Ceramic and Refractory Minerals Mining,212325,Clay and Ceramic and Refractory Minerals Mining,,,,,213,213111,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells,
,,,,,,,,213,213111,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells,,,,,421740,Refrigeration Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212391,"Potash, Soda, and Borate Mineral Mining",212391,"Potash, Soda, and Borate Mineral Mining",,,,,213,213112,Support Activities for Oil and Gas Operations,213112,Support Activities for Oil and Gas Operations,Support Activities For Oil and Gas Operations Except Site Preparation and Related Construction Activities
,,,,,,,,213,213112,Support Activities for Oil and Gas Operations,213112,Support Activities for Oil and Gas Operations,,,,,421810,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,Merchant Wholesalers,,,,212,212392,Phosphate Rock Mining,212392,Phosphate Rock Mining,,,,,213,213112,Support Activities for Oil and Gas Operations,237120,Oil and Gas Pipeline and Related Structures Construction (pt),Construction of Field Gathering Lines On A Contract Basis
,,,,,,,,213,213113,Support Activities for Coal Mining,213113,Support Activities for Coal Mining,,,,,421810,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,212,212393,Other Chemical and Fertilizer Mineral Mining,212393,Other Chemical and Fertilizer Mineral Mining,,,,,213,213112,Support Activities for Oil and Gas Operations,238910,Site Preparation Contractors (pt),Site Preparation and Related Construction Activities On A Contract Basis
,,,,,,,,213,213114,Support Activities for Metal Mining,213114,Support Activities for Metal Mining,,,,,421810,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,212,212399,All Other Nonmetallic Mineral Mining,212399,All Other Nonmetallic Mineral Mining,,,,,213,213113,Support Activities for Coal Mining ,213113,Support Activities for Coal Mining,Support Activities For Coal Mining Except Site Preparation and Related Construction Activities
,,,,,,,,213,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,,,,,421820,Farm and Garden Machinery and Equipment Wholesalers,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Merchant Wholesalers,,,,213,213111,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells,,,,,213,213113,Support Activities for Coal Mining ,238910,Site Preparation Contractors (pt),Site Preparation and Related Construction Activities On A Contract Basis
,,,,,,,,221,221111,Hydroelectric Power Generation,221111,Hydroelectric Power Generation,,,,,421820,Farm and Garden Machinery and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,213,213112,Support Activities for Oil and Gas Operations,213112,Support Activities for Oil and Gas Operations,,,,,213,213114,Support Activities for Metal Mining,213114,Support Activities for Metal Mining ,Support Activities For Metal Mining Except Site Preparation and Related Construction Activities
,,,,,,,,221,221112,Fossil Fuel Electric Power Generation,221112,Fossil Fuel Electric Power Generation,,,,,421820,Farm and Garden Machinery and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,213,213113,Support Activities for Coal Mining,213113,Support Activities for Coal Mining,,,,,213,213114,Support Activities for Metal Mining,238910,Site Preparation Contractors (pt),Site Preparation and Related Construction Activities On A Contract Basis
,,,,,,,,221,221113,Nuclear Electric Power Generation,221113,Nuclear Electric Power Generation,,,,,421830,Industrial Machinery and Equipment Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,Merchant Wholesalers,,,,213,213114,Support Activities for Metal Mining,213114,Support Activities for Metal Mining,,,,,213,213115,Support Activities for Nonmetallic Minerals (except Fuels) ,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,Support Activities For Nonmetallic Mineral (Except Fuel) Mining Except Site Preparation and Related Construction Activities
,,,,,,,,221,221119,Other Electric Power Generation - solar electric power generation,221114,Solar Electric Power Generation,,,,,421830,Industrial Machinery and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,213,213115,Support Activities for Nonmetallic Minerals (except Fuels),213115,Support Activities for Nonmetallic Minerals (except Fuels),,,,,213,213115,Support Activities for Nonmetallic Minerals (except Fuels),238910,Site Preparation Contractors (pt),Site Preparation and Related Construction Activities On A Contract Basis
,,,,,,,,221,221119,Other Electric Power Generation - wind electric power generation,221115,Wind Electric Power Generation,,,,,421830,Industrial Machinery and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,221,221111,Hydroelectric Power Generation,221111,Hydroelectric Power Generation,,,,,221,221111,Hydroelectric Power Generation,221111,Hydroelectric Power Generation,
,,,,,,,,221,221119,Other Electric Power Generation - geothermal electric power generation,221116,Geothermal Electric Power Generation,,,,,421840,Industrial Supplies Wholesalers,423840,Industrial Supplies Merchant Wholesalers,Merchant Wholesalers,,,,221,221112,Fossil Fuel Electric Power Generation,221112,Fossil Fuel Electric Power Generation,,,,,221,221112,Fossil Fuel Electric Power Generation,221112,Fossil Fuel Electric Power Generation,
,,,,,,,,221,221119,Other Electric Power Generation - biomass electric power generation,221117,Biomass Electric Power Generation,,,,,421840,Industrial Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,221,221113,Nuclear Electric Power Generation,221113,Nuclear Electric Power Generation,,,,,221,221113,Nuclear Electric Power Generation,221113,Nuclear Electric Power Generation,
,,,,,,,,221,221119,"Other Electric Power Generation - except solar, wind, geothermal, and biomass electric power generation",221118,Other Electric Power Generation,,,,,421840,Industrial Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,221,221119,Other Electric Power Generation,221119,Other Electric Power Generation,,,,,221,221119,Other Electric Power Generation,221119,Other Electric Power Generation,
,,,,,,,,221,221121,Electric Bulk Power Transmission and Control,221121,Electric Bulk Power Transmission and Control,,,,,421850,Service Establishment Equipment and Supplies Wholesalers,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers,,,,221,221121,Electric Bulk Power Transmission and Control,221121,Electric Bulk Power Transmission and Control,,,,,221,221121,Electric Bulk Power Transmission and Control,221121,Electric Bulk Power Transmission and Control,
,,,,,,,,221,221122,Electric Power Distribution,221122,Electric Power Distribution,,,,,421850,Service Establishment Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,221,221122,Electric Power Distribution,221122,Electric Power Distribution,,,,,221,221122,Electric Power Distribution,221122,Electric Power Distribution,
