"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1DJP","M1A2 UPGRADE","Land Vehicles",,,,,32850,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DNE","2 1/2 TON 6X6 ALL BODY TY","Land Vehicles",,637000,37384,6087,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DNH","FORK LIFT 50000 LB","Land Vehicles",,,,,,,,,,,,,104502,,,,,,,,,,,,,,,,,,
"1DPS","UTILITY 1/4 TON 4X4 M151","Land Vehicles",,,56378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBA","7.62MM M60 MACHINE GUN","Ordnance and Missiles",,14103000,18005769,12205296,4302353,1972219,735410,21027021,22482121,6739720,2612500,13956091,5841160,8374045,14127413,1870792,,,,,,,,,,,,,,,
"1EBB","50MM M85 MACHINE GUN","Ordnance and Missiles",,3291000,3398025,231597,90695,429085,106000,89958,92406,,,39197,933271,,,,,,,,,,,,,,,,,,
"1EBC","7.62MM M73 MACHINE GUN","Ordnance and Missiles",,113000,,345303,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBE","7.62MM M134 AUTOMATIC","Ordnance and Missiles",,,,-55151,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBG","50CAL M2 MACHINE GUN","Ordnance and Missiles",,-142000,9947092,1144092,1830513,973978,321952,608018,59886,382315,,1596370,803309,355554,,,,,,,,,,,,,,,,,
"1EBH","20MM GUN (HS)","Ordnance and Missiles",,40000,,,30723,,69084,,808273,,,,,,,,,,,,,,,,,,,,,,
"1EBI","20MM XM167 TOWED","Ordnance and Missiles",,239000,383042,-95802,-2234,,,50700,,,,73242,130680,554209,,,,,,,,,,,,,,,,,
"1EBL","20MM GUN XM163","Ordnance and Missiles",,4513000,-665114,-937258,-218790,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBM","20MM GUN (VULCAN) M61","Ordnance and Missiles",,,223394,,,59286,295915,,,,,,,45808,,,,,,,,,,,,,,,,,
"1EBN","105MM GUN M68","Ordnance and Missiles",,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBO","5.56MM CARBINE","Ordnance and Missiles",,,,,,,5615538,-3077365,8735705,18670498,6116482,13850686,23218471,42162879,3110006,,,,,,,,,,,,,,,,
"1EBQ","70MM GUN (VIPER)","Ordnance and Missiles",,-3558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBS","7.62MM M-240 MACHINE GUN","Ordnance and Missiles",,80000,748998,367952,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EBT","5.56MM M249 SQD AUTOMATIC","Ordnance and Missiles",,349000,1286274,-35145,14738940,12112623,26846761,11580064,2743750,9489114,9713148,4613426,4801790,13355014,192237,,,,,,,,,,,,,,,,
"1EBU","25MM M242 AUTOMATIC GUN","Ordnance and Missiles",,1283000,2646959,1033055,2602388,8329904,2221199,3842905,4883474,479582,244070,1608191,1670222,3226101,,,-224905,,,,,,0,,,,,,,,
"1EBV","9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",,,,,,620744,3757627,649592,1550148,2290850,308728,1147126,2769244,1811549,,,,,,,,,,,,,,,,,
"1EBW","MK 19-3 GRENADE MACHINE G","Ordnance and Missiles",,,,,,2257710,1799349,1616810,10271567,11413073,80730,16819320,25283518,11873149,,,,,,,,,,,,,,,,,
